NAME,LATITUDE,LONGITUDE,LOCATION_GUIDE,URL,SPECIES,,NAME;LATITUDE;LONGITUDE;LOCATION_GUIDE;URL;SPECIES
Lake Ontario 1a - Upper Niagara River,43.0225,-79.02277778,Canadian waters from Fort Erie to above the falls,http://www.ontario.ca/environment-and-energy/sport-fish-consumption-advisory?id=42577857,-NORTHERN_PIKE-WHITE_SUCKER-REDHORSE_SUCKER-COMMON_CARP-BROWN_BULLHEAD-WHITE_PERCH-WHITE_BASS-ROCK_BASS-RAINBOW_TROUT-RAINBOW_SMELT-PUMPKINSEED-SMALLMOUTH_BASS-LARGEMOUTH_BASS-YELLOW_PERCH-FRESHWATER_DRUM-,,Lake Ontario 1a - Upper Niagara River;43.0225;-79.02277778;Canadian waters from Fort Erie to above the falls;http://www.ontario.ca/environment-and-energy/sport-fish-consumption-advisory?id=42577857;-NORTHERN_PIKE-WHITE_SUCKER-REDHORSE_SUCKER-COMMON_CARP-BROWN_BULLHEAD-WHITE_PERCH-WHITE_BASS-ROCK_BASS-RAINBOW_TROUT-RAINBOW_SMELT-PUMPKINSEED-SMALLMOUTH_BASS-LARGEMOUTH_BASS-YELLOW_PERCH-FRESHWATER_DRUM-
Lyons Creek,42.98,-79.20555556,"at Hwy. 140, Niagara R.M.",http://www.ontario.ca/environment-and-energy/sport-fish-consumption-advisory?id=42587912,-BOWFIN-WHITE_SUCKER-COMMON_CARP-BROWN_BULLHEAD-ROCK_BASS-PUMPKINSEED-BLUEGILL-LARGEMOUTH_BASS-BLACK_CRAPPIE-,,"Lyons Creek;42.98;-79.20555556;at Hwy. 140, Niagara R.M.;http://www.ontario.ca/environment-and-energy/sport-fish-consumption-advisory?id=42587912;-BOWFIN-WHITE_SUCKER-COMMON_CARP-BROWN_BULLHEAD-ROCK_BASS-PUMPKINSEED-BLUEGILL-LARGEMOUTH_BASS-BLACK_CRAPPIE-"
Lyons Creek,42.99583333,-79.17805556,"Cooks Mills, Niagara R.M.",http://www.ontario.ca/environment-and-energy/sport-fish-consumption-advisory?id=42597911,-WHITE_SUCKER-BROWN_BULLHEAD-PUMPKINSEED-BLUEGILL-LARGEMOUTH_BASS-BLACK_CRAPPIE-,,"Lyons Creek;42.99583333;-79.17805556;Cooks Mills, Niagara R.M.;http://www.ontario.ca/environment-and-energy/sport-fish-consumption-advisory?id=42597911;-WHITE_SUCKER-BROWN_BULLHEAD-PUMPKINSEED-BLUEGILL-LARGEMOUTH_BASS-BLACK_CRAPPIE-"
Oswego Creek,51.13722222,-90.11777778,"Wellandport to Oswego, Wainfleet Twp.",http://www.ontario.ca/environment-and-energy/sport-fish-consumption-advisory?id=42597933,-COMMON_CARP-,,"Oswego Creek;51.13722222;-90.11777778;Wellandport to Oswego, Wainfleet Twp.;http://www.ontario.ca/environment-and-energy/sport-fish-consumption-advisory?id=42597933;-COMMON_CARP-"
Welland River,42.99833333,-79.57194444,Binbrook Reservoir to Port Davidson,http://www.ontario.ca/environment-and-energy/sport-fish-consumption-advisory?id=42597934,-COMMON_CARP-BROWN_BULLHEAD-CHANNEL_CATFISH-ROCK_BASS-LARGEMOUTH_BASS-WHITE_CRAPPIE-BLACK_CRAPPIE-WALLEYE-FRESHWATER_DRUM-,,Welland River;42.99833333;-79.57194444;Binbrook Reservoir to Port Davidson;http://www.ontario.ca/environment-and-energy/sport-fish-consumption-advisory?id=42597934;-COMMON_CARP-BROWN_BULLHEAD-CHANNEL_CATFISH-ROCK_BASS-LARGEMOUTH_BASS-WHITE_CRAPPIE-BLACK_CRAPPIE-WALLEYE-FRESHWATER_DRUM-
Thames River,43.05861111,-80.99416667,Middle Branch below Thamesford Dam to South Thames Branch,http://www.ontario.ca/environment-and-energy/sport-fish-consumption-advisory?id=42598058,-REDHORSE_SUCKER-COMMON_CARP-ROCK_BASS-SMALLMOUTH_BASS-YELLOW_PERCH-,,Thames River;43.05861111;-80.99416667;Middle Branch below Thamesford Dam to South Thames Branch;http://www.ontario.ca/environment-and-energy/sport-fish-consumption-advisory?id=42598058;-REDHORSE_SUCKER-COMMON_CARP-ROCK_BASS-SMALLMOUTH_BASS-YELLOW_PERCH-
Thames River,42.97083333,-81.18305556,below Dorchester to North Thames River (Pottersburg Creek),http://www.ontario.ca/environment-and-energy/sport-fish-consumption-advisory?id=42598111,-WHITE_SUCKER-REDHORSE_SUCKER-COMMON_CARP-ROCK_BASS-SMALLMOUTH_BASS-,,Thames River;42.97083333;-81.18305556;below Dorchester to North Thames River (Pottersburg Creek);http://www.ontario.ca/environment-and-energy/sport-fish-consumption-advisory?id=42598111;-WHITE_SUCKER-REDHORSE_SUCKER-COMMON_CARP-ROCK_BASS-SMALLMOUTH_BASS-
Thames River,43.00666667,-81.26833333,below Fanshawe Dam to above Springbank Dam,http://www.ontario.ca/environment-and-energy/sport-fish-consumption-advisory?id=42598114,-WHITE_SUCKER-REDHORSE_SUCKER-COMMON_CARP-ROCK_BASS-SMALLMOUTH_BASS-,,Thames River;43.00666667;-81.26833333;below Fanshawe Dam to above Springbank Dam;http://www.ontario.ca/environment-and-energy/sport-fish-consumption-advisory?id=42598114;-WHITE_SUCKER-REDHORSE_SUCKER-COMMON_CARP-ROCK_BASS-SMALLMOUTH_BASS-
Lake Erie 7a - Upper St. Clair River,42.95861111,-82.42194444,from Lake Huron to just north of Ethyl Corp.,http://www.ontario.ca/environment-and-energy/sport-fish-consumption-advisory?id=42598224,-NORTHERN_PIKE-WHITE_SUCKER-REDHORSE_SUCKER-COMMON_CARP-GIZZARD_SHAD-BROWN_BULLHEAD-WHITE_BASS-ROCK_BASS-SMALLMOUTH_BASS-LARGEMOUTH_BASS-YELLOW_PERCH-WALLEYE-FRESHWATER_DRUM-,,Lake Erie 7a - Upper St. Clair River;42.95861111;-82.42194444;from Lake Huron to just north of Ethyl Corp.;http://www.ontario.ca/environment-and-energy/sport-fish-consumption-advisory?id=42598224;-NORTHERN_PIKE-WHITE_SUCKER-REDHORSE_SUCKER-COMMON_CARP-GIZZARD_SHAD-BROWN_BULLHEAD-WHITE_BASS-ROCK_BASS-SMALLMOUTH_BASS-LARGEMOUTH_BASS-YELLOW_PERCH-WALLEYE-FRESHWATER_DRUM-
Welland River,43.00305556,-79.41666667,Port Davidson to upstream of Old Welland Canal,http://www.ontario.ca/environment-and-energy/sport-fish-consumption-advisory?id=43007925,-BLUEGILL-LARGEMOUTH_BASS-WHITE_CRAPPIE-BLACK_CRAPPIE-YELLOW_PERCH-FRESHWATER_DRUM-NORTHERN_PIKE-BIGMOUTH_BUFFALO-COMMON_CARP-BROWN_BULLHEAD-CHANNEL_CATFISH-WHITE_PERCH-,,Welland River;43.00305556;-79.41666667;Port Davidson to upstream of Old Welland Canal;http://www.ontario.ca/environment-and-energy/sport-fish-consumption-advisory?id=43007925;-BLUEGILL-LARGEMOUTH_BASS-WHITE_CRAPPIE-BLACK_CRAPPIE-YELLOW_PERCH-FRESHWATER_DRUM-NORTHERN_PIKE-BIGMOUTH_BUFFALO-COMMON_CARP-BROWN_BULLHEAD-CHANNEL_CATFISH-WHITE_PERCH-
Old Welland Canal,42.93611111,-79.24638889,Port Colborne to Dain City,http://www.ontario.ca/environment-and-energy/sport-fish-consumption-advisory?id=43017913,-NORTHERN_PIKE-COMMON_CARP-BROWN_BULLHEAD-ROCK_BASS-PUMPKINSEED-SMALLMOUTH_BASS-BLACK_CRAPPIE-FRESHWATER_DRUM-,,Old Welland Canal;42.93611111;-79.24638889;Port Colborne to Dain City;http://www.ontario.ca/environment-and-energy/sport-fish-consumption-advisory?id=43017913;-NORTHERN_PIKE-COMMON_CARP-BROWN_BULLHEAD-ROCK_BASS-PUMPKINSEED-SMALLMOUTH_BASS-BLACK_CRAPPIE-FRESHWATER_DRUM-
